place,name,sort,rating,reviews
유성호텔,유성호텔,호텔,4.29/5,"['방문자리뷰 109, /place/11590701/review/visitor', '블로그리뷰 367, /place/11590701/review/ugc']"
롯데시티호텔 대전,롯데시티호텔 대전,호텔,4.26/5,"['방문자리뷰 122, /place/21423856/review/visitor', '블로그리뷰 600, /place/21423856/review/ugc']"
대청호 로하스 캠핑장,대청호 로하스 캠핑장,"캠핑,야영장",4.37/5,"['방문자리뷰 103, /accommodation/36893521/review/visitor', '블로그리뷰 223, /accommodation/36893521/review/ugc']"
대전라마다호텔,대전라마다호텔,호텔,4.43/5,"['방문자리뷰 155, /place/1359952060/review/visitor', '블로그리뷰 164, /place/1359952060/review/ugc']"
인터시티호텔,인터시티호텔,호텔,4.31/5,"['방문자리뷰 105, /place/11555599/review/visitor', '블로그리뷰 274, /place/11555599/review/ugc']"
토요코인호텔 대전정부청사앞,토요코인호텔 대전정부청사앞,호텔,4.06/5,"['방문자리뷰 110, /place/20083342/review/visitor', '블로그리뷰 120, /place/20083342/review/ugc']"
호텔3월,호텔3월,호텔,4.59/5,"['방문자리뷰 149, /accommodation/37896580/review/visitor', '블로그리뷰 55, /accommodation/37896580/review/ugc']"
호텔 그레이톤 둔산,호텔 그레이톤 둔산,호텔,4.32/5,"['방문자리뷰 47, /place/33253412/review/visitor', '블로그리뷰 130, /place/33253412/review/ugc']"
상소오토캠핑장,상소오토캠핑장,"캠핑,야영장",0,"['방문자리뷰 1, /accommodation/36783093/review/visitor', '블로그리뷰 199, /accommodation/36783093/review/ugc']"
홈플러스 유성점,홈플러스 유성점,"슈퍼,마트",4.45/5,"['방문자리뷰 4,338, /place/10976549/review/visitor', '블로그리뷰 516, /place/10976549/review/ugc']"
코스트코코리아대전점,코스트코코리아대전점,"슈퍼,마트",4.47/5,"['방문자리뷰 8,421, /place/11583026/review/visitor', '블로그리뷰 1503, /place/11583026/review/ugc']"
이마트 둔산점,이마트 둔산점,"슈퍼,마트",4.41/5,"['방문자리뷰 8,061, /place/11605008/review/visitor', '블로그리뷰 240, /place/11605008/review/ugc']"
이마트 대전터미널점,이마트 대전터미널점,"슈퍼,마트",4.4/5,"['방문자리뷰 7,205, /place/20955430/review/visitor', '블로그리뷰 269, /place/20955430/review/ugc']"
롯데마트 노은점,롯데마트 노은점,"슈퍼,마트",4.15/5,"['방문자리뷰 2,980, /place/12973693/review/visitor', '블로그리뷰 122, /place/12973693/review/ugc']"
이마트 트레이더스 월평점,이마트 트레이더스 월평점,"슈퍼,마트",4.42/5,"['방문자리뷰 11,627, /place/566533736/review/visitor', '블로그리뷰 540, /place/566533736/review/ugc']"
롯데마트 서대전점,롯데마트 서대전점,"슈퍼,마트",4.38/5,"['방문자리뷰 2,958, /place/11625313/review/visitor', '블로그리뷰 118, /place/11625313/review/ugc']"
세이브존 대전점,세이브존 대전점,"슈퍼,마트",4.33/5,"['방문자리뷰 2,013, /place/11583077/review/visitor', '블로그리뷰 161, /place/11583077/review/ugc', '아울렛윈도, https://shopping.naver.com/outlet/branch/10011004']"
롯데마트 대덕점,롯데마트 대덕점,"슈퍼,마트",4.42/5,"['방문자리뷰 6,742, /place/30805711/review/visitor', '블로그리뷰 149, /place/30805711/review/ugc']"
홈플러스 대전둔산점,홈플러스 대전둔산점,"슈퍼,마트",4.4/5,"['방문자리뷰 3,476, /place/11656537/review/visitor', '블로그리뷰 237, /place/11656537/review/ugc']"
언양기와집불고기,언양기와집불고기,소고기구이,4.37/5,"['방문자리뷰 887, /restaurant/11717646/review/visitor', '블로그리뷰 1228, /restaurant/11717646/review/ugc']"
베테랑 바베큐,베테랑 바베큐,"육류,고기요리",4.33/5,"['방문자리뷰 476, /restaurant/21007472/review/visitor', '블로그리뷰 1091, /restaurant/21007472/review/ugc']"
바다바라기,바다바라기,게요리,3.98/5,"['방문자리뷰 952, /restaurant/20957575/review/visitor', '블로그리뷰 1796, /restaurant/20957575/review/ugc']"
반올림피자샵 울산남구점,반올림피자샵 울산남구점,피자,4.65/5,"['주문자리뷰 71, /restaurant/36939127/review/visitor', '블로그리뷰 16, /restaurant/36939127/review/ugc']"
반올림피자샵 울산중구점,반올림피자샵 울산중구점,피자,4.59/5,"['방문자리뷰 39, /restaurant/37695708/review/visitor', '블로그리뷰 9, /restaurant/37695708/review/ugc']"
헤이다이닝,헤이다이닝,양식,4.58/5,"['방문자리뷰 1,150, /restaurant/1796864423/review/visitor', '블로그리뷰 419, /restaurant/1796864423/review/ugc']"
헤이메르,헤이메르,카페,4.39/5,"['방문자리뷰 798, /restaurant/1872451543/review/visitor', '블로그리뷰 989, /restaurant/1872451543/review/ugc']"
조민석의청년갈비 삼산본점,조민석의청년갈비 삼산본점,"육류,고기요리",4.33/5,"['방문자리뷰 48, /restaurant/1000513556/review/visitor', '블로그리뷰 204, /restaurant/1000513556/review/ugc']"
