place,rating,nickname,review,visited
대동하늘공원,3,토끼1015,좋아요,2020.09.23
엑스포 과학공원,3,dlghkdn,주차공간이너무없어요ㅠ,2020.09.10
엑스포 과학공원,3.5,나나사나,볼것이 그닥..,2020.05.31
엑스포 과학공원,5,긴지노,전망대내부가 너무허전해요 근데 좋네요,2020.05.30
엑스포 과학공원,4,lili,#꿈돌이#대전,2020.02.22
엑스포 과학공원,5,beh****,저렴,2020.01.10
엑스포 과학공원,5,law****,재밌게 놀다 왔어요^^,2020.01.08
엑스포 과학공원,5,듈,대전이 한 눈에 내려다 보이는 한빛탑! 엑스포과학공원에 너무 오랜만에 와 보는군,2019.08.10
엑스포 과학공원,3,켈로그 콘푸레이크,대전에가면 꼭가봐야할곳,2019.03.08
솔로몬로파크,5,느림보,아이랑 나들이가기 좋아요 매점도 생기고^^리모델링 해서 깔끔해졌어요 실내놀이터는 코로나때문에 휴관이라 아쉽네요,2020.05.17
클라이밍짐리드 충대점,4,Bella,사장님 친절하고좋아용,2020.01.20
클라이밍짐리드 유성점,3.5,쏠티,친절,2020.08.15
클라이밍짐리드 유성점,5,준서맘77,,2020.08.15
클라이밍짐리드 유성점,5,fsstth,코스도 난이도별로 잘 나눠져있고볼더링 재밌는 문제도 많고볼더링도 난이도별로 보기 쉽게 구분돼있고관장님 엄청 열정 넘치시고 친절하세요추천합니다,2020.05.07
테크노클라이밍짐,4,lodinpriga,볼더링은 많이 없고 지구력 위주이지만 쾌적하고 좋아요.,2020.09.10
테크노클라이밍짐,5,장혜수,좋아여,2020.07.07
테크노클라이밍짐,3,ooooogg,괜찮은데 아저씨가좀툴툴거림,2019.12.13
레이저태그스포츠,5,su9****,성인한시간20000초등한시간15000인데  아빠가초4남학생친구들이랑가서 잘놀다왔어요너무재밌다고했고 친구들에게자랑도많이하고 땀힘뻑흘리고오더라고요,2020.05.16
레이저태그스포츠,4,오늘도,아이들이 좋아합니다,2020.01.20
레이저태그스포츠,3,lib****,그럭저럭...,2020.01.17
레이저태그스포츠,5,dbq****,최고,2020.01.17
레이저태그스포츠,5,저속,짱짱짱~,2020.01.17
레이저태그스포츠,5,해피케빈맘,레이저총싸움 꿀잼아이가 너무 좋아해요,2019.03.01
장태산자연휴양림,4,suj****,굿,2020.09.05
장태산자연휴양림,5,che****,1,2020.09.01
장태산자연휴양림,4,ujk****,좋아요,2020.08.10
장태산자연휴양림,5,kim****,좋아요ㅡ,2020.08.09
장태산자연휴양림,4.5,tig****,좋아,2020.07.17
장태산자연휴양림,4.5,i81****,,2020.07.15
장태산자연휴양림,5,hjs****,          ,2020.07.06
장태산자연휴양림,4,jjj****,좋아요,2020.03.16
장태산자연휴양림,5,puf****,좋아요 좋아요 좋앙,2020.01.25
